id,rating,started_at,read_at,book.id.#text,book.isbn13.@nil,book.text_reviews_count.#text,book.num_pages,book.publication_year,book.average_rating,book.ratings_count,user_id,book.isbn13
1066621890,4,Sun Sep 28 00:00:00 -0700 2014,Fri Oct 03 06:28:53 -0700 2014,15790873,,4524,404,2013,3.68,49715,15004522,9780316212823
1066254129,5,Sun Sep 28 05:52:33 -0700 2014,Sun Sep 28 06:22:41 -0700 2014,17788401,,33333,337,2014,4.27,385209,15004522,
1053800048,5,Sat Sep 13 08:28:46 -0700 2014,Sun Sep 21 11:16:58 -0700 2014,2999475,,1117,419,2008,4.13,48339,15004522,9780061431838
1029581735,5,Sun Aug 17 00:00:00 -0700 2014,Thu Sep 11 15:01:36 -0700 2014,6527740,,9947,594,2010,4.36,275971,15004522,9781595143068
1022791254,5,Sun Aug 10 12:27:53 -0700 2014,Fri Aug 15 20:36:09 -0700 2014,8490112,,22437,418,2011,3.99,352920,15004522,9780316134026
1020759237,4,Fri Aug 08 00:00:00 -0700 2014,Sun Aug 10 13:29:12 -0700 2014,21519367,,21,,,3.64,53,15004522,
1004124789,4,Tue Jul 22 19:12:54 -0700 2014,Fri Jul 25 10:59:28 -0700 2014,4602032,,1045,292,2008,3.96,523037,15004522,9780441016990
1003230220,5,Fri Mar 20 00:00:00 -0700 2015,Sun Mar 22 00:00:00 -0700 2015,22296542,,1770,324,2014,3.86,47668,15004522,
1001185377,3,Sat Jul 19 19:50:00 -0700 2014,Sun Aug 17 19:43:58 -0700 2014,8377052,,402,272,2011,3.83,43650,15004522,9780385528207
998180342,4,Wed Jul 16 11:15:27 -0700 2014,Sat Jul 19 05:57:28 -0700 2014,18053060,,9042,452,2014,3.81,76667,15004522,9780062280671
997189494,1,Tue Jul 15 12:04:08 -0700 2014,Tue Jul 15 23:11:02 -0700 2014,15749887,,1513,416,2012,4.06,609917,15004522,9781476712048
996681331,4,Mon Jul 14 22:37:13 -0700 2014,Mon Jul 14 22:37:26 -0700 2014,7008041,,1435,281,2010,3.84,20142,15004522,9781423121978
991743690,4,Wed Jul 09 22:34:46 -0700 2014,Thu Jul 10 12:16:29 -0700 2014,11721314,,1908,292,2012,3.70,16199,15004522,9780385741774
983998893,4,,,12154294,,617,336,2012,3.75,6108,15004522,9780763655075
981498610,5,Sun Jun 29 17:03:47 -0700 2014,Wed Jul 02 20:06:36 -0700 2014,6479259,,7730,489,2010,4.32,281803,15004522,9781595142504
978450570,5,Thu Jun 26 13:08:56 -0700 2014,Sun Jun 29 17:03:26 -0700 2014,5996153,,8385,503,2009,4.29,301776,15004522,9781595141989
977334550,5,Wed Jun 25 00:00:00 -0700 2014,Thu Jun 26 13:06:00 -0700 2014,2802316,,9859,443,2008,4.32,352278,15004522,9781595141972
973156567,5,Fri Jun 20 18:38:49 -0700 2014,Sun Jun 22 20:27:35 -0700 2014,2282133,,9848,327,2008,4.25,338536,15004522,
968943733,5,Mon Jun 16 00:00:00 -0700 2014,Mon Jun 16 10:54:45 -0700 2014,17233800,,2274,474,2013,4.27,26360,15004522,9780373210992
961807323,4,,,11815580,,134,43,2011,3.66,1533,15004522,
952367447,2,Wed Jul 30 11:41:05 -0700 2014,Sun Aug 10 10:47:41 -0700 2014,38169,,2834,323,2005,4.08,43099,15004522,9780060741877
950580238,4,Thu Jul 30 00:00:00 -0700 2015,Sun Aug 02 00:00:00 -0700 2015,18333898,,1190,544,2014,4.13,15336,15004522,9780373211180
935040986,5,Mon May 12 11:16:47 -0700 2014,Tue May 13 16:05:44 -0700 2014,13547135,,817,452,2012,4.02,167465,15004522,9781442421776
934196967,5,Tue Jun 03 00:00:00 -0700 2014,Fri Jun 06 00:00:00 -0700 2014,12983100,,3835,438,2013,4.14,101355,15004522,
933124859,2,Mon Jun 16 00:00:00 -0700 2014,Wed Jun 18 00:00:00 -0700 2014,18525702,,1222,330,2014,3.79,13944,15004522,9781250039606
931815071,5,Thu May 08 00:00:00 -0700 2014,Sat May 10 00:00:00 -0700 2014,17455585,,3307,388,2014,4.20,65661,15004522,
927083106,3,,,13406425,,2894,356,2012,3.82,28318,15004522,9781442440753
921194752,5,Fri Jul 11 17:16:48 -0700 2014,Fri Jul 11 22:29:07 -0700 2014,3682,,8572,403,2003,3.78,226644,15004522,9780689875342
916144471,4,Mon Apr 21 03:45:33 -0700 2014,Fri Apr 25 20:56:16 -0700 2014,3777732,,24046,541,2009,4.29,881745,15004522,9781416914303
915623024,4,Sun Apr 20 13:33:55 -0700 2014,Sun Apr 20 18:15:55 -0700 2014,8492825,,17140,264,2011,4.00,278204,15004522,9780525422945
914748803,5,Sat Apr 19 12:42:03 -0700 2014,Sat Apr 19 14:26:21 -0700 2014,6990472,,4080,261,2010,3.93,791727,15004522,9780142415436
909903098,5,Mon Apr 14 00:00:00 -0700 2014,Fri Apr 18 06:33:52 -0700 2014,4502507,,12070,387,2009,4.51,792719,15004522,9780739380338
902615416,5,Sun Apr 06 07:47:06 -0700 2014,Sun Apr 13 08:58:03 -0700 2014,2120932,,18117,361,2008,4.39,866529,15004522,
897294432,5,Mon Mar 31 00:00:00 -0700 2014,Sat Apr 05 15:11:41 -0700 2014,561456,,18722,320,2007,4.35,819328,15004522,9780141382890
894392462,5,,,10257528,,1797,376,2010,4.27,5124055,15004522,
894392053,3,,,1518570,,58,272,2000,4.00,86874,15004522,9780439120418
894391677,4,,,3636,,62368,208,2006,4.13,2051674,15004522,9780385732550
894311483,5,Fri Mar 28 00:00:00 -0700 2014,Mon Mar 31 11:34:58 -0700 2014,28186,,25212,279,2006,4.24,895788,15004522,9780786856862
892210670,2,Wed Mar 26 00:00:00 -0700 2014,Thu Mar 27 00:00:00 -0700 2014,15513156,,1877,246,2013,3.97,24764,15004522,9781250003331
891779800,4,,Tue Jan 01 00:00:00 -0800 2013,1656001,,38314,624,2008,3.85,956480,15004522,9780316068048
891779567,5,,Thu Jan 01 00:00:00 -0800 2009,1162543,,46003,756,2008,3.71,1480714,15004522,9780316067928
891779286,2,,Thu Jan 01 00:00:00 -0800 2009,49041,,45987,563,2006,3.56,1653620,15004522,
891778667,5,,Thu Jan 01 00:00:00 -0800 2009,428263,,36671,629,2007,3.71,1587901,15004522,9780316160209
890656713,5,Mon Mar 24 12:03:48 -0700 2014,Mon Mar 24 18:01:59 -0700 2014,675614,,1220,176,2007,4.03,24704,15004522,9780142409862
889718740,4,Mon Jun 09 00:00:00 -0700 2014,Mon Jun 09 16:42:54 -0700 2014,9378297,,8465,316,2011,3.90,105584,15004522,9780765328656
888477105,3,,,7124095,,1774,214,2010,3.69,32768,15004522,9781416979180
888476989,5,,,3657138,,2154,248,2009,3.89,55189,15004522,9781416953586
888476824,4,,,1661957,,4887,210,2008,3.75,82557,15004522,9781416953579
888476072,3,Sat Mar 22 06:53:09 -0700 2014,Sun Mar 23 17:46:11 -0700 2014,8543252,,1433,233,2011,3.73,10612,15004522,9781416994817
883208516,5,Sun Mar 16 00:00:00 -0700 2014,Sat Mar 22 06:52:39 -0700 2014,13206828,,24712,552,2014,4.41,320817,15004522,9780312642976
883082051,5,,,11235712,,37283,390,2012,4.13,796511,15004522,9780312641894
882642078,5,Sat Jan 14 21:17:44 -0800 2017,Sun Jan 15 11:37:22 -0800 2017,78418,,5879,192,1999,3.98,206800,15004522,9780439206488
882641836,5,Wed Jan 11 09:58:02 -0800 2017,Wed Jan 11 11:40:18 -0800 2017,78411,,15051,176,1999,3.96,456077,15004522,9780439206471
881314028,4,Tue Jun 24 00:00:00 -0700 2014,Tue Jun 24 16:49:30 -0700 2014,15768191,,2686,375,2013,4.25,46506,15004522,9780062265944
880544608,5,,,17679546,,35,455,2014,4.15,41194,15004522,9780373210985
878852967,5,,,9266776,,2162,295,2011,3.73,33903,15004522,9780061921261
875871458,5,Sat Mar 15 00:00:00 -0700 2014,Sun Mar 16 10:28:00 -0700 2014,13206760,,28172,454,2013,4.25,362010,15004522,9780312642969
871203210,5,Mon Mar 03 00:00:00 -0800 2014,Wed Mar 05 00:00:00 -0800 2014,13722513,,2144,387,2013,4.13,796511,15004522,9781250007209
869535184,5,Sun Mar 02 00:00:00 -0800 2014,Mon Mar 03 15:16:30 -0800 2014,12425532,,4176,324,2012,4.00,49997,15004522,9781250003324
868412147,4,,,87626,,163,247,2006,3.60,2619,15004522,9780786818082
857775895,5,,,19063,,97655,552,2006,4.38,2110916,15004522,
855391464,4,Sat Feb 15 00:00:00 -0800 2014,Mon Mar 03 15:11:47 -0800 2014,13259307,,1465,159,2012,3.98,1959655,15004522,
842272727,4,,,4333469,,342,320,2009,3.80,3351,15004522,9780545066310
